2013/01/11 14:17:33	UPLINK	GET_WITH_FILE	152	3131
2013/01/11 14:17:34	DATABASE	PUBLISH	120	3131
2013/01/11 14:17:34	NRS	PUBLISH	179	3131
2013/01/11 14:17:37	UPLINK	GET_WITH_FILE	1341	8385
2013/01/11 14:17:38	DATABASE	PUBLISH	134	8385
2013/01/11 14:17:39	NRS	PUBLISH	44	8385
2013/01/11 14:17:42	UPLINK	GET_WITH_FILE	38	3639
2013/01/11 14:17:42	DATABASE	PUBLISH	121	3639
2013/01/11 14:17:42	NRS	PUBLISH	52	3639
2013/01/11 14:17:45	UPLINK	GET_WITH_FILE	34	3643
2013/01/11 14:17:45	DATABASE	PUBLISH	148	3643
2013/01/11 14:17:45	NRS	PUBLISH	40	3643
2013/01/11 14:17:48	UPLINK	GET_WITH_FILE	47	3723
2013/01/11 14:17:48	DATABASE	PUBLISH	130	3723
2013/01/11 14:17:49	NRS	PUBLISH	33	3723
2013/01/11 14:17:52	UPLINK	GET_WITH_FILE	46	657
2013/01/11 14:17:52	DATABASE	PUBLISH	137	657
2013/01/11 14:17:52	NRS	PUBLISH	39	657
2013/01/11 14:17:55	UPLINK	GET_WITH_FILE	49	561
2013/01/11 14:17:55	DATABASE	PUBLISH	138	561
2013/01/11 14:17:55	NRS	PUBLISH	41	561
2013/01/11 14:17:58	UPLINK	GET_WITH_FILE	63	109
2013/01/11 14:17:58	DATABASE	PUBLISH	139	109
2013/01/11 14:17:59	NRS	PUBLISH	42	109
2013/01/11 14:18:02	UPLINK	GET_WITH_FILE	41	3208
2013/01/11 14:18:02	DATABASE	PUBLISH	161	3208
2013/01/11 14:18:02	NRS	PUBLISH	40	3208
2013/01/11 14:18:05	UPLINK	GET_WITH_FILE	47	4077
2013/01/11 14:18:05	DATABASE	PUBLISH	146	4077
2013/01/11 14:18:05	NRS	PUBLISH	44	4077
2013/01/11 14:18:08	UPLINK	GET_WITH_FILE	62	3056
2013/01/11 14:18:09	DATABASE	PUBLISH	124	3056
2013/01/11 14:18:09	NRS	PUBLISH	39	3056
2013/01/11 14:18:12	UPLINK	GET_WITH_FILE	47	145
2013/01/11 14:18:12	DATABASE	PUBLISH	152	145
2013/01/11 14:18:12	NRS	PUBLISH	40	145
2013/01/11 14:18:15	UPLINK	GET_WITH_FILE	35	201
2013/01/11 14:18:15	DATABASE	PUBLISH	133	201
2013/01/11 14:18:15	NRS	PUBLISH	40	201
2013/01/11 14:18:18	UPLINK	GET_WITH_FILE	43	3177
2013/01/11 14:18:19	DATABASE	PUBLISH	139	3177
2013/01/11 14:18:19	NRS	PUBLISH	36	3177
2013/01/11 14:18:22	UPLINK	GET_WITH_FILE	46	2985
2013/01/11 14:18:22	DATABASE	PUBLISH	164	2985
2013/01/11 14:18:22	NRS	PUBLISH	77	2985
2013/01/11 14:18:25	UPLINK	GET_WITH_FILE	47	198
2013/01/11 14:18:25	DATABASE	PUBLISH	117	198
2013/01/11 14:18:26	NRS	PUBLISH	39	198
2013/01/11 14:18:29	UPLINK	GET_WITH_FILE	51	899
2013/01/11 14:18:29	DATABASE	PUBLISH	133	899
2013/01/11 14:18:29	NRS	PUBLISH	30	899
2013/01/11 14:18:29	UPLINK	GET_WITH_FILE	37	43
2013/01/11 14:18:29	DATABASE	PUBLISH	109	43
2013/01/11 14:18:30	NRS	PUBLISH	85	43
2013/01/11 14:18:30	WEBSITE	WEBSITE_VISITED	1	google.se
2013/01/11 14:18:33	UPLINK	GET_WITH_FILE	173	62130
2013/01/11 14:18:34	DATABASE	PUBLISH	117	62130
2013/01/11 14:18:34	NRS	PUBLISH	73	62130
2013/01/11 14:18:37	UPLINK	GET_WITH_FILE	33	9760
2013/01/11 14:18:37	DATABASE	PUBLISH	112	9760
2013/01/11 14:18:37	NRS	PUBLISH	65	9760
2013/01/11 14:18:40	UPLINK	GET_WITH_FILE	100	28765
2013/01/11 14:18:40	DATABASE	PUBLISH	140	28765
2013/01/11 14:18:40	NRS	PUBLISH	84	28765
2013/01/11 14:18:44	UPLINK	GET_WITH_FILE	64
2013/01/11 14:18:44	DATABASE	PUBLISH	63
2013/01/11 14:18:44	NRS	PUBLISH	30
2013/01/11 14:18:47	UPLINK	GET_WITH_FILE	200	26188
2013/01/11 14:18:47	DATABASE	PUBLISH	119	26188
2013/01/11 14:18:47	NRS	PUBLISH	45	26188
2013/01/11 14:18:47	UPLINK	GET_WITH_FILE	624	433898
2013/01/11 14:18:48	WEBSITE	WEBSITE_VISITED	0	youtube.com
2013/01/11 14:18:48	DATABASE	PUBLISH	119	433898
2013/01/11 14:18:48	NRS	PUBLISH	291	433898
2013/01/11 14:18:55	UPLINK	GET_WITH_FILE	804	306937
2013/01/11 14:18:56	UPLINK	GET_WITH_FILE	244	65946
2013/01/11 14:18:56	DATABASE	PUBLISH	107	306937
2013/01/11 14:18:56	NRS	PUBLISH	172	306937
2013/01/11 14:18:56	DATABASE	PUBLISH	171	65946
2013/01/11 14:18:56	NRS	PUBLISH	96	65946
2013/01/11 14:19:00	UPLINK	GET_WITH_FILE	325	34469
2013/01/11 14:19:00	DATABASE	PUBLISH	202	34469
2013/01/11 14:19:00	NRS	PUBLISH	85	34469
2013/01/11 14:19:03	UPLINK	GET_WITH_FILE	50	387
2013/01/11 14:19:04	DATABASE	PUBLISH	139	387
2013/01/11 14:19:04	NRS	PUBLISH	35	387
2013/01/11 14:19:07	UPLINK	GET_WITH_FILE	28	473
2013/01/11 14:19:07	DATABASE	PUBLISH	119	473
2013/01/11 14:19:07	NRS	PUBLISH	27	473
2013/01/11 14:19:11	UPLINK	GET_WITH_FILE	65	39097
2013/01/11 14:19:11	DATABASE	PUBLISH	269	39097
2013/01/11 14:19:11	NRS	PUBLISH	57	39097
